Título,Autores,Precio,Disponibilidad,Rating,Categoría,Stock,URL
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",['Kurtis J Wiebe'],Â£46.96,In stock,Five,Sequential Art,In stock (1 available),https://books.toscrape.com/catalogue/rat-queens-vol-1-sass-sorcery-rat-queens-collected-editions-1-5_46/index.html
"Paper Girls, Vol. 1 (Paper Girls #1-5)",['Brian K. Vaughan'],Â£21.71,In stock,Four,Sequential Art,In stock (1 available),https://books.toscrape.com/catalogue/paper-girls-vol-1-paper-girls-1-5_44/index.html
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",['Bisco Hatori'],Â£29.87,In stock,Three,Sequential Art,In stock (1 available),https://books.toscrape.com/catalogue/ouran-high-school-host-club-vol-1-ouran-high-school-host-club-1_43/index.html
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)","['Jessica Baldanzi', 'Hussein Rashid']",Â£39.39,In stock,Four,Sequential Art,In stock (1 available),https://books.toscrape.com/catalogue/ms-marvel-vol-1-no-normal-ms-marvel-2014-2015-1_34/index.html
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",['Matt Fraction'],Â£45.24,In stock,Three,Sequential Art,In stock (1 available),https://books.toscrape.com/catalogue/hawkeye-vol-1-my-life-as-a-weapon-hawkeye-1_24/index.html
"Giant Days, Vol. 1 (Giant Days #1-4)",['John Allison'],Â£56.76,In stock,Four,Sequential Art,In stock (1 available),https://books.toscrape.com/catalogue/giant-days-vol-1-giant-days-1-4_22/index.html
"Fruits Basket, Vol. 1 (Fruits Basket #1)",['Natsuki Takaya'],Â£40.28,In stock,Five,Sequential Art,In stock (1 available),https://books.toscrape.com/catalogue/fruits-basket-vol-1-fruits-basket-1_21/index.html
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",['Tite Kubo'],Â£34.65,In stock,Five,Sequential Art,In stock (1 available),https://books.toscrape.com/catalogue/bleach-vol-1-strawberry-and-the-soul-reapers-bleach-1_7/index.html
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",['Gamon Sakurai'],Â£57.06,In stock,Four,Sequential Art,In stock (1 available),https://books.toscrape.com/catalogue/ajin-demi-human-volume-1-ajin-demi-human-1_4/index.html
The Secret Garden,['Frances Hodgson Burnett'],Â£15.08,In stock,Four,Classics,In stock (5 available),https://books.toscrape.com/catalogue/the-secret-garden_413/index.html
The Metamorphosis,['Franz Kafka'],Â£28.58,In stock,One,Classics,In stock (5 available),https://books.toscrape.com/catalogue/the-metamorphosis_409/index.html
The Pilgrim's Progress,['John Bunyan'],Â£50.26,In stock,Two,Classics,In stock (4 available),https://books.toscrape.com/catalogue/the-pilgrims-progress_353/index.html
The Hound of the Baskervilles (Sherlock Holmes #5),['Arthur Conan Doyle'],Â£14.82,In stock,Two,Classics,In stock (4 available),https://books.toscrape.com/catalogue/the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html
Little Women (Little Women #1),['Louisa May Alcott'],Â£28.07,In stock,Four,Classics,In stock (4 available),https://books.toscrape.com/catalogue/little-women-little-women-1_331/index.html
Gone with the Wind,['Sidney Coe Howard'],Â£32.49,In stock,Three,Classics,In stock (4 available),https://books.toscrape.com/catalogue/gone-with-the-wind_324/index.html
Candide,['Voltaire'],Â£58.63,In stock,Three,Classics,In stock (4 available),https://books.toscrape.com/catalogue/candide_316/index.html
Animal Farm,['R. M. Sibly'],Â£57.22,In stock,Three,Classics,In stock (4 available),https://books.toscrape.com/catalogue/animal-farm_313/index.html
Wuthering Heights,['Emily Bronte'],Â£17.73,In stock,Three,Classics,In stock (3 available),https://books.toscrape.com/catalogue/wuthering-heights_307/index.html
The Picture of Dorian Gray,['Oscar Wilde'],Â£29.70,In stock,Two,Classics,In stock (3 available),https://books.toscrape.com/catalogue/the-picture-of-dorian-gray_270/index.html
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),['Edgar Allan Poe'],Â£26.78,In stock,Four,Classics,In stock (3 available),https://books.toscrape.com/catalogue/the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/index.html
Beowulf,['Christopher Tolkien'],Â£38.35,In stock,Two,Classics,In stock (3 available),https://books.toscrape.com/catalogue/beowulf_126/index.html
And Then There Were None,['AGATHA CHRISTIE'],Â£35.01,In stock,Two,Classics,In stock (3 available),https://books.toscrape.com/catalogue/and-then-there-were-none_119/index.html
The Story of Hong Gildong,[],Â£43.19,In stock,Four,Classics,In stock (1 available),https://books.toscrape.com/catalogue/the-story-of-hong-gildong_84/index.html
The Little Prince,['Antoine de Saint-Exupéry'],Â£45.42,In stock,Two,Classics,In stock (1 available),https://books.toscrape.com/catalogue/the-little-prince_72/index.html
Sense and Sensibility,['Jane Austen'],Â£37.46,In stock,One,Classics,In stock (1 available),https://books.toscrape.com/catalogue/sense-and-sensibility_49/index.html
Of Mice and Men,['John Steinbeck'],Â£47.11,In stock,Two,Classics,In stock (1 available),https://books.toscrape.com/catalogue/of-mice-and-men_37/index.html
Emma,['Jane Austen'],Â£32.93,In stock,Two,Classics,In stock (1 available),https://books.toscrape.com/catalogue/emma_17/index.html
Alice in Wonderland (Alice's Adventures in Wonderland #1),['Lewis Carroll'],Â£55.53,In stock,One,Classics,In stock (1 available),https://books.toscrape.com/catalogue/alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html
Sophie's World,['Jostein Gaarder'],Â£15.94,In stock,Five,Philosophy,In stock (18 available),https://books.toscrape.com/catalogue/sophies-world_966/index.html
The Death of Humanity: and the Case for Life,['John Forster'],Â£58.11,In stock,Four,Philosophy,In stock (16 available),https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
The Stranger,['Saskia Sarginson'],Â£17.44,In stock,Four,Philosophy,In stock (15 available),https://books.toscrape.com/catalogue/the-stranger_861/index.html
Proofs of God: Classical Arguments from Tertullian to Barth,['Matthew Levering'],Â£54.21,In stock,One,Philosophy,In stock (8 available),https://books.toscrape.com/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html
Kierkegaard: A Christian Missionary to Christians,['Aaron P. Edwards'],Â£47.13,In stock,One,Philosophy,In stock (8 available),https://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html
"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",['Sarah Bakewell'],Â£29.93,In stock,Five,Philosophy,In stock (7 available),https://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html
Critique of Pure Reason,['Immanuel Kant'],Â£20.75,In stock,One,Philosophy,In stock (5 available),https://books.toscrape.com/catalogue/critique-of-pure-reason_366/index.html
"Run, Spot, Run: The Ethics of Keeping Pets",['Jessica Pierce'],Â£20.02,In stock,One,Philosophy,In stock (2 available),https://books.toscrape.com/catalogue/run-spot-run-the-ethics-of-keeping-pets_106/index.html
The Nicomachean Ethics,['Aristotle'],Â£36.34,In stock,One,Philosophy,In stock (1 available),https://books.toscrape.com/catalogue/the-nicomachean-ethics_75/index.html
Meditations,['Marcus Aurelius'],Â£25.89,In stock,Two,Philosophy,In stock (1 available),https://books.toscrape.com/catalogue/meditations_33/index.html
Beyond Good and Evil,['Friedrich Nietzsche'],Â£43.38,In stock,One,Philosophy,In stock (1 available),https://books.toscrape.com/catalogue/beyond-good-and-evil_6/index.html
Chase Me (Paris Nights #2),['Laura Florand'],Â£25.27,In stock,Five,Romance,In stock (19 available),https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
Black Dust,['William M. Frank'],Â£34.53,In stock,Five,Romance,In stock (19 available),https://books.toscrape.com/catalogue/black-dust_976/index.html
Her Backup Boyfriend (The Sorensen Family #1),['Ashlee Mallory'],Â£33.97,In stock,One,Romance,In stock (16 available),https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html
First and First (Five Boroughs #3),"['Anthony Picciano', 'Chet Jordan']",Â£15.97,In stock,Four,Romance,In stock (16 available),https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html
Fifty Shades Darker (Fifty Shades #2),['Rachel E Rice'],Â£21.96,In stock,One,Romance,In stock (16 available),https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html
The Wedding Dress,['Clare Gibson'],Â£24.12,In stock,One,Romance,In stock (15 available),https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html
Suddenly in Love (Lake Haven #1),['Julia London'],Â£55.99,In stock,Two,Romance,In stock (15 available),https://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html
Something More Than This,[],Â£16.24,In stock,Four,Romance,In stock (15 available),https://books.toscrape.com/catalogue/something-more-than-this_834/index.html
Doing It Over (Most Likely To #1),"['Nick Lee', 'Ian Lings']",Â£35.61,In stock,Three,Romance,In stock (15 available),https://books.toscrape.com/catalogue/doing-it-over-most-likely-to-1_802/index.html
The Wedding Pact (The O'Malleys #2),['Katee Robert'],Â£32.61,In stock,Three,Romance,In stock (14 available),https://books.toscrape.com/catalogue/the-wedding-pact-the-omalleys-2_767/index.html
Hold Your Breath (Search and Rescue #1),['Katie Ruggle'],Â£28.82,In stock,One,Romance,In stock (14 available),https://books.toscrape.com/catalogue/hold-your-breath-search-and-rescue-1_700/index.html
Dirty (Dive Bar #1),['Kylie Scott'],Â£40.83,In stock,Four,Romance,In stock (12 available),https://books.toscrape.com/catalogue/dirty-dive-bar-1_615/index.html
Take Me Home Tonight (Rock Star Romance #3),['Erika Kelly'],Â£53.98,In stock,Three,Romance,In stock (11 available),https://books.toscrape.com/catalogue/take-me-home-tonight-rock-star-romance-3_605/index.html
Off the Hook (Fishing for Trouble #1),['Laura Drewry'],Â£47.67,In stock,Three,Romance,In stock (11 available),https://books.toscrape.com/catalogue/off-the-hook-fishing-for-trouble-1_601/index.html
A Gentleman's Position (Society of Gentlemen #3),['sir Frederick Joseph Bramwell (bart.)'],Â£14.75,In stock,Five,Romance,In stock (11 available),https://books.toscrape.com/catalogue/a-gentlemans-position-society-of-gentlemen-3_584/index.html
"Sit, Stay, Love",['Debbie Burns'],Â£20.90,In stock,Three,Romance,In stock (7 available),https://books.toscrape.com/catalogue/sit-stay-love_486/index.html
A Girl's Guide to Moving On (New Beginnings #2),['Debbie Macomber'],Â£31.30,In stock,One,Romance,In stock (5 available),https://books.toscrape.com/catalogue/a-girls-guide-to-moving-on-new-beginnings-2_359/index.html
The Perfect Play (Play by Play #1),['Jaci Burton'],Â£59.99,In stock,Three,Romance,In stock (4 available),https://books.toscrape.com/catalogue/the-perfect-play-play-by-play-1_352/index.html
Dark Lover (Black Dagger Brotherhood #1),['J.R. Ward'],Â£12.87,In stock,One,Romance,In stock (4 available),https://books.toscrape.com/catalogue/dark-lover-black-dagger-brotherhood-1_319/index.html
Changing the Game (Play by Play #2),['Jaci Burton'],Â£13.38,In stock,Three,Romance,In stock (4 available),https://books.toscrape.com/catalogue/changing-the-game-play-by-play-2_317/index.html
A Walk to Remember,['Pasquale De Marco'],Â£56.43,In stock,One,Romance,In stock (4 available),https://books.toscrape.com/catalogue/a-walk-to-remember_312/index.html
The Purest Hook (Second Circle Tattoos #3),['Scarlett Cole'],Â£12.25,In stock,One,Romance,In stock (3 available),https://books.toscrape.com/catalogue/the-purest-hook-second-circle-tattoos-3_271/index.html
The Obsession,['Jesse Q. Sutanto'],Â£45.43,In stock,One,Romance,In stock (3 available),https://books.toscrape.com/catalogue/the-obsession_268/index.html
Reservations for Two,['Hillary Manton Lodge'],Â£11.10,In stock,Three,Romance,In stock (3 available),https://books.toscrape.com/catalogue/reservations-for-two_211/index.html
Best of My Love (Fool's Gold #20),['Susan Mallery'],Â£27.41,In stock,Two,Romance,In stock (3 available),https://books.toscrape.com/catalogue/best-of-my-love-fools-gold-20_127/index.html
Where Lightning Strikes (Bleeding Stars #3),['A. L. Jackson'],Â£39.77,In stock,Three,Romance,In stock (1 available),https://books.toscrape.com/catalogue/where-lightning-strikes-bleeding-stars-3_96/index.html
This One Moment (Pushing Limits #1),['Stina Lindenblatt'],Â£48.71,In stock,One,Romance,In stock (1 available),https://books.toscrape.com/catalogue/this-one-moment-pushing-limits-1_88/index.html
"Rhythm, Chord & Malykhin",['Mel Bay'],Â£28.34,In stock,Two,Romance,In stock (1 available),https://books.toscrape.com/catalogue/rhythm-chord-malykhin_47/index.html
My Perfect Mistake (Over the Top #1),['Kelly Siskind'],Â£38.92,In stock,Two,Romance,In stock (1 available),https://books.toscrape.com/catalogue/my-perfect-mistake-over-the-top-1_35/index.html
Listen to Me (Fusion #1),['Anthony J. Fonseca'],Â£58.99,In stock,Three,Romance,In stock (1 available),https://books.toscrape.com/catalogue/listen-to-me-fusion-1_29/index.html
Imperfect Harmony,['Amanda Torrey'],Â£34.74,In stock,Four,Romance,In stock (1 available),https://books.toscrape.com/catalogue/imperfect-harmony_26/index.html
Fighting Fate (Fighting #6),['Leigh Morgan'],Â£39.24,In stock,Three,Romance,In stock (1 available),https://books.toscrape.com/catalogue/fighting-fate-fighting-6_18/index.html
Deep Under (Walker Security #1),['Lisa Renee Jones'],Â£47.09,In stock,Five,Romance,In stock (1 available),https://books.toscrape.com/catalogue/deep-under-walker-security-1_15/index.html
Charity's Cross (Charles Towne Belles #4),['MaryLu Tyndall'],Â£41.24,In stock,One,Romance,In stock (1 available),https://books.toscrape.com/catalogue/charitys-cross-charles-towne-belles-4_12/index.html
Bounty (Colorado Mountain #7),['Kristen Ashley'],Â£37.26,In stock,Four,Romance,In stock (1 available),https://books.toscrape.com/catalogue/bounty-colorado-mountain-7_9/index.html
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,['Betches'],Â£57.36,In stock,Four,Womens Fiction,In stock (15 available),https://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html
Will You Won't You Want Me?,['Nora Zelevansky'],Â£13.86,In stock,Three,Womens Fiction,In stock (12 available),https://books.toscrape.com/catalogue/will-you-wont-you-want-me_644/index.html
Keep Me Posted,['Lisa Beazley'],Â£20.46,In stock,Four,Womens Fiction,In stock (11 available),https://books.toscrape.com/catalogue/keep-me-posted_594/index.html
Grey (Fifty Shades #4),['G Whiz'],Â£48.49,In stock,Four,Womens Fiction,In stock (11 available),https://books.toscrape.com/catalogue/grey-fifty-shades-4_592/index.html
Meternity,['Meghann Foye'],Â£43.58,In stock,Three,Womens Fiction,In stock (7 available),https://books.toscrape.com/catalogue/meternity_478/index.html
Some Women,['Maarten Maartens'],Â£13.73,In stock,Five,Womens Fiction,In stock (4 available),https://books.toscrape.com/catalogue/some-women_341/index.html
Shopaholic Ties the Knot (Shopaholic #3),['Sophie Kinsella'],Â£48.39,In stock,Five,Womens Fiction,In stock (4 available),https://books.toscrape.com/catalogue/shopaholic-ties-the-knot-shopaholic-3_340/index.html
Can You Keep a Secret?,['Karen Perry'],Â£21.94,In stock,One,Womens Fiction,In stock (4 available),https://books.toscrape.com/catalogue/can-you-keep-a-secret_315/index.html
Twenties Girl,['Sophie Kinsella'],Â£42.80,In stock,Two,Womens Fiction,In stock (3 available),https://books.toscrape.com/catalogue/twenties-girl_292/index.html
The Undomestic Goddess,['Sophie Kinsella'],Â£45.75,In stock,Four,Womens Fiction,In stock (3 available),https://books.toscrape.com/catalogue/the-undomestic-goddess_286/index.html
The Nanny Diaries (Nanny #1),"['Emma McLaughlin', 'Nicola Kraus']",Â£52.53,In stock,Five,Womens Fiction,In stock (3 available),https://books.toscrape.com/catalogue/the-nanny-diaries-nanny-1_265/index.html
